재생목록 ID,채널 ID,생성 일시,업데이트 일시,제목,설명,공개 상태
PLB2NcDW5y2tsS76uS9HUAY6mrvK83r5t8,UCGgwZAUipw6AfZPD_gF_boQ,2018-12-19 04:14:07 UTC,2021-06-03 03:43:42 UTC,Power motivation,,비공개

동영상 ID,추가 일시
Iz_lJA2iH7s,2019-07-24 02:08:00 UTC
K9I0N59FUe4,2019-07-20 00:49:49 UTC
7XJu-2E7RT4,2019-07-17 02:35:27 UTC
BWW-5Q_EzKM,2019-05-12 20:18:15 UTC
3sK3wJAxGfs,2019-05-12 20:17:12 UTC
FarsyCWkLcU,2018-12-19 04:14:41 UTC
xp2qjshr-r4,2018-12-19 04:16:21 UTC
fiutY4ojZUQ,2019-05-12 20:17:56 UTC
 -dVbkxekzKA,2019-05-12 20:18:21 UTC
wnHW6o8WMas,2019-05-12 20:18:25 UTC
aDCGrINPGUQ,2019-06-30 11:47:44 UTC
ASIT7U463Q0,2019-06-30 11:47:53 UTC
OLTZbJMQiD4,2019-06-30 11:48:00 UTC
f2O6mQkFiiw,2019-07-18 01:39:54 UTC
8hS6PPGdgFY,2019-07-22 15:44:05 UTC
0mm57rH1sTE,2019-12-04 06:10:07 UTC
LvHVPgR69EA,2020-03-20 11:24:40 UTC
l9nh1l8ZIJQ,2020-08-09 22:40:16 UTC
83_h4N_lwJc,2020-09-21 06:04:12 UTC
sBKmYTi4gNw,2020-10-04 15:42:04 UTC
vUta1TNoQSg,2020-10-11 19:28:52 UTC
cutjsCxA4tM,2020-10-20 12:44:58 UTC
BZn7rS4Vkt4,2021-01-20 00:16:10 UTC
a_e4M6x1-ro,2021-01-23 00:34:52 UTC

