재생목록 ID,채널 ID,생성 일시,업데이트 일시,제목,설명,공개 상태
PLB2NcDW5y2ttvL43mw6aEmVynzFEQMfUk,UCGgwZAUipw6AfZPD_gF_boQ,2017-08-20 07:13:39 UTC,2021-12-11 20:12:54 UTC,Watch later,,비공개

동영상 ID,추가 일시
xTX2FJH-yrs,2018-08-27 23:25:40 UTC
YLS7-ZY9HOE,2018-11-04 22:30:47 UTC
Cvm1aR8FrNg,2018-12-28 20:22:13 UTC
jVybGgvGMlk,2019-01-02 06:31:49 UTC
EDlNorKNUsk,2019-01-06 09:55:10 UTC
5-mpWyOB3JE,2019-02-01 05:44:53 UTC
4I8HDUHLgRs,2019-02-25 08:08:05 UTC
SmgpkFtCyx4,2019-03-14 12:12:44 UTC
vFpmTAigi7M,2019-04-21 01:14:43 UTC
qhnARpYSqAA,2020-01-16 04:14:31 UTC
Zx6c5B5_vqY,2020-06-28 03:09:17 UTC
dHaLWOrtFFU,2021-06-10 15:41:23 UTC
4oAojjvJ1To,2021-10-03 13:08:01 UTC
qSXPHO1Sv8Y,2021-10-13 12:26:19 UTC
3bu42HFumj4,2021-12-11 20:12:54 UTC

