,channel_name,#_of_unique_urls,#_of_unique_video_titles,#_of_accessed_time
0,NBC News,905,899,976
1,옛드 : MBC 레전드 드라마,212,212,661
2,Movieclips,427,427,659
3,뻑가 PPKKa,427,427,501
4,TechLead,215,215,485
5,CarbotAnimations,178,178,447
6,Markiplier,194,194,338
7,아구 TV,162,162,269
8,효기심,139,139,255
9,Team Fearless,59,59,235
10,Flashback FM,116,116,224
11,Joshua Fluke,178,178,217
12,U.S. Air Force Recruiting,61,61,216
13,JerryRigEverything,130,130,200
14,Simple History,138,138,198
15,김달,146,146,188
16,The Infographics Show,162,162,187
17,YTN news,177,175,179
18,MulliganBrothers,41,41,171
19,Jamesons Travels,113,113,151
20,MBCNEWS,142,142,143
21,Infinite Elgintensity,115,115,143
22,KBS COMEDY: 크큭티비,82,82,134
23,YouTube Movies,73,72,121
24,AFGuidesHD,89,89,117
25,Fuel The Mind,9,9,116
26,MythKiller77,63,63,115
27,Goalcast,22,22,114
28,피지컬갤러리,62,62,111
29,Fox News,97,97,105
30,Poets &amp; Quants,78,78,104
31,scooby1961,72,72,99
32,U.S. NAVY SEAL AND SWCC OFFICIAL CHANNEL,13,13,98
33,ABC News,84,84,98
34,CNN,92,92,95
35,CinemaSins,69,69,95
36,Cinemassacre,65,65,92
37,Life of Boris,38,38,88
38,imom90,33,33,87
39,Unbox Therapy,59,59,84
40,MKIceAndFire,64,64,80
41,TechLead Show,53,53,74
42,Cinemax,30,30,74
43,Kalle Hallden,34,34,73
44,리뷰엉이: Owl&#39;s Review,62,62,73
45,NEFFEX,21,21,72
46,ritt253620,31,31,68
47,Motivation2Study,34,34,68
48,Minority Mindset,63,63,66
49,Dark LORE Dash,45,45,66
50,저격수해병TV,50,50,65
51,Doubleuman,11,11,65
52,JaxVellex,20,20,64
53,SEALgrinderPT,8,8,64
54,다정한참견,52,52,63
55,B&amp;Y퇴근버스,47,47,63
56,MIT OpenCourseWare,50,50,62
57,Andy Sterkowitz,47,47,59
58,Singh in USA,29,29,58
59,DEV274x,34,34,56
60,Luke Miani,50,50,56
61,WatchMojo.com,51,51,55
